seed_ticker_raw,seed_ticker,seed_name,franchise_locations,total_locations,market_cap_2018_screen,ebitda_to_net_sales_lf,roic_lf,fcf_t12m,roic_wacc_ratio,avg_daily_price_6m,audit_status,current_ticker,successor_tickers,price_history_treatment,notes
MCD US Equity,MCD,MCDONALD'S CORP,34108,37241,125324099584,46.5712890625,22.8369636535645,3697500064,2.9760000705719003,166.5514727452,pending_provider_check,MCD,,use_adjusted_price_series_pending_provider_check,"Needs provider lookup for current listing, corporate actions, and adjusted price continuity."
MAR US Equity,MAR,MARRIOTT INTERNATIONAL -CL A,,,50473717760,10.9276599884033,9.9976921081543,2196000000,0.695999979972839,126.389457702637,pending_provider_check,MAR,,use_adjusted_price_series_pending_provider_check,"Needs provider lookup for current listing, corporate actions, and adjusted price continuity."
QSR US Equity,QSR,RESTAURANT BRANDS INTERN,24278,24407,27097573376,44.7415313720703,10.2771558761597,1345300032,0.282999992370605,62.7129457458969,pending_provider_check,QSR,,use_adjusted_price_series_pending_provider_check,"Needs provider lookup for current listing, corporate actions, and adjusted price continuity."
YUM US Equity,YUM,YUM! BRANDS INC,43603,45084,27059914752,80.7228927612305,53.2078857421875,712000000,8.51099967956543,79.4820930421814,pending_provider_check,YUM,,use_adjusted_price_series_pending_provider_check,"Needs provider lookup for current listing, corporate actions, and adjusted price continuity."
HLT US Equity,HLT,HILTON WORLDWIDE HOLDINGS IN,,,25539182592,19.1311988830566,12.9689178466797,866000000,1.13999998569489,76.1131013382313,pending_provider_check,HLT,,use_adjusted_price_series_pending_provider_check,"Needs provider lookup for current listing, corporate actions, and adjusted price continuity."
AMP US Equity,AMP,AMERIPRISE FINANCIAL INC,,,22892204032,27.4732208251953,13.4301271438599,1539000000,1.25,159.804806258327,pending_provider_check,AMP,,use_adjusted_price_series_pending_provider_check,"Needs provider lookup for current listing, corporate actions, and adjusted price continuity."
IHG US Equity,IHG,INTERCONTINENTAL HOTELS-ADR,,,12309464064,48.5436897277832,54.1530456542969,604000000,2.82399988174438,59.0386046180429,pending_provider_check,IHG,,use_adjusted_price_series_pending_provider_check,"Needs provider lookup for current listing, corporate actions, and adjusted price continuity."
WYN US Equity,WYN,WYNDHAM WORLDWIDE CORP,,,11545984000,10.5136442184448,17.4286613464355,827000000,1.09300005435944,111.905271308367,spin_successor,TNL,WH; TNL,spin_off_chain_review,Wyndham Worldwide spun off Wyndham Hotels and later became Travel + Leisure Co.; include both successor economics for historical reconstruction.
ROL US Equity,ROL,ROLLINS INC,,,10969412608,19.9005107879639,27.1823501586914,210690000,2.22099995613098,46.6086821445199,pending_provider_check,ROL,,use_adjusted_price_series_pending_provider_check,"Needs provider lookup for current listing, corporate actions, and adjusted price continuity."
DPZ US Equity,DPZ,DOMINO'S PIZZA INC,14464,14856,9567687680,21.2634983062744,101.681137084961,249025000,10.5500001907349,195.543062077012,pending_provider_check,DPZ,,use_adjusted_price_series_pending_provider_check,"Needs provider lookup for current listing, corporate actions, and adjusted price continuity."
H US Equity,H,HYATT HOTELS CORP - CL A,,,9173613568,15.5405406951904,3.30116009712219,322000000,0.5099999904632571,70.3032556873883,pending_provider_check,H,,use_adjusted_price_series_pending_provider_check,"Needs provider lookup for current listing, corporate actions, and adjusted price continuity."
SNA US Equity,SNA,SNAP-ON INC,,,9031124992,22.370792388916,15.7576951980591,526400000,1.42499995231628,162.732790451641,pending_provider_check,SNA,,use_adjusted_price_series_pending_provider_check,"Needs provider lookup for current listing, corporate actions, and adjusted price continuity."
SERV US Equity,SERV,SERVICEMASTER GLOBAL HOLDING,,,6940844032,18.1681671142578,16.1391658782959,338000000,2.07699990272522,49.5359612102656,acquired_public,,RTO.L; RTO,ticker_change_then_acquisition_review,"ServiceMaster became Terminix, which was acquired by Rentokil Initial in 2022."
HRB US Equity,HRB,H&R BLOCK INC,,,5295715840,-121.55778503418,32.3029136657715,526346016,4.56599998474121,26.1473643428596,pending_provider_check,HRB,,use_adjusted_price_series_pending_provider_check,"Needs provider lookup for current listing, corporate actions, and adjusted price continuity."
DNKN US Equity,DNKN,DUNKIN' BRANDS GROUP INC,20520,20520,4926428672,57.4309120178223,14.3819103240967,262302008,-0.0120000001043081,59.1080620935721,acquired_private,,Inspire Brands,cash_acquisition_stop_series,Dunkin' Brands was acquired by Inspire Brands in 2020.
VVV US Equity,VVV,VALVOLINE INC,697,1139,4583506432,18.1651382446289,24.5676307678223,-271000000,2.04299998283386,23.9541473832241,pending_provider_check,VVV,,use_adjusted_price_series_pending_provider_check,"Needs provider lookup for current listing, corporate actions, and adjusted price continuity."
CHH US Equity,CHH,CHOICE HOTELS INTL INC,,,4479400960,25.1722640991211,26.8852424621582,233937000,3.29200005531311,73.7198448181152,pending_provider_check,CHH,,use_adjusted_price_series_pending_provider_check,"Needs provider lookup for current listing, corporate actions, and adjusted price continuity."
WTW US Equity,WTW,WEIGHT WATCHERS INTL INC,,,4375150080,19.8556804656982,26.0305614471436,208542000,1.87600004673004,51.4102326326592,ticker_changed,WW,WW,ticker_change_continuation_pending_provider_check,Weight Watchers changed ticker from WTW to WW in 2019.
CHE US Equity,CHE,CHEMED CORP,,,4195945216,15.2912168502808,14.5898866653442,98195000,1.37699997425079,233.093953568806,pending_provider_check,CHE,,use_adjusted_price_series_pending_provider_check,"Needs provider lookup for current listing, corporate actions, and adjusted price continuity."
TXRH US Equity,TXRH,TEXAS ROADHOUSE INC,87,549,3943128576,11.323558807373,15.5130290985107,124745000,1.20700001716614,52.4022479685702,pending_provider_check,TXRH,,use_adjusted_price_series_pending_provider_check,"Needs provider lookup for current listing, corporate actions, and adjusted price continuity."
WEN US Equity,WEN,WENDY'S CO/THE,6297,6634,3818658304,32.5254554748535,8.23937702178955,169930000,1.11899995803833,15.5919379818347,pending_provider_check,WEN,,use_adjusted_price_series_pending_provider_check,"Needs provider lookup for current listing, corporate actions, and adjusted price continuity."
CAR US Equity,CAR,AVIS BUDGET GROUP INC,,,3657422336,31.2035655975342,4.4416241645813,-9087000064,0.680000007152557,40.7537597537965,pending_provider_check,CAR,,use_adjusted_price_series_pending_provider_check,"Needs provider lookup for current listing, corporate actions, and adjusted price continuity."
PLNT US Equity,PLNT,PLANET FITNESS INC - CL A,,,3638129408,37.3474197387695,59.4488258361816,93299000,-3.16799998283386,30.3672093827595,pending_provider_check,PLNT,,use_adjusted_price_series_pending_provider_check,"Needs provider lookup for current listing, corporate actions, and adjusted price continuity."
AAN US Equity,AAN,AARON'S INC,551,1726,3269941504,9.70047283172607,14.7027587890625,131529000,1.09099996089935,40.2328681650088,acquired_private,,IQVentures,cash_acquisition_stop_series,Aaron's was acquired by IQVentures in 2024; do not treat old AAN as a current live ticker.
JACK US Equity,JACK,JACK IN THE BOX INC,1995,2250,2660256512,31.2810096740723,17.7112846374512,91821000,2.01300001144409,97.2943020606226,pending_provider_check,JACK,,use_adjusted_price_series_pending_provider_check,"Needs provider lookup for current listing, corporate actions, and adjusted price continuity."
LQ US Equity,LQ,LA QUINTA HOLDINGS INC,,,2217541632,29.9450569152832,2.28193402290344,6135000,-0.8130000233650211,18.0121706068054,acquired_public,,WH,acquisition_and_spin_review,La Quinta's hotel franchising and management business was acquired by Wyndham; handle separately from WH spin history.
