Ticker,Name,Retail - Num of Franchise Locations:Q,Retail - Num of Locations (End):Q,Market Cap,EBITDA to Net Sales LF,ROIC LF,FCF T12M,ROIC/WACC Ratio,Avg of Daily Price over 6 Months
MCD US Equity,MCDONALD'S CORP,34108,37241,125324099584,46.5712890625,22.8369636535645,3697500064,2.9760000705719003,166.5514727452
MAR US Equity,MARRIOTT INTERNATIONAL -CL A,,,50473717760,10.9276599884033,9.9976921081543,2196000000,0.695999979972839,126.389457702637
QSR US Equity,RESTAURANT BRANDS INTERN,24278,24407,27097573376,44.7415313720703,10.2771558761597,1345300032,0.282999992370605,62.7129457458969
YUM US Equity,YUM! BRANDS INC,43603,45084,27059914752,80.7228927612305,53.2078857421875,712000000,8.51099967956543,79.4820930421814
HLT US Equity,HILTON WORLDWIDE HOLDINGS IN,,,25539182592,19.1311988830566,12.9689178466797,866000000,1.13999998569489,76.1131013382313
AMP US Equity,AMERIPRISE FINANCIAL INC,,,22892204032,27.4732208251953,13.4301271438599,1539000000,1.25,159.804806258327
IHG US Equity,INTERCONTINENTAL HOTELS-ADR,,,12309464064,48.5436897277832,54.1530456542969,604000000,2.82399988174438,59.0386046180429
WYN US Equity,WYNDHAM WORLDWIDE CORP,,,11545984000,10.5136442184448,17.4286613464355,827000000,1.09300005435944,111.905271308367
ROL US Equity,ROLLINS INC,,,10969412608,19.9005107879639,27.1823501586914,210690000,2.22099995613098,46.6086821445199
DPZ US Equity,DOMINO'S PIZZA INC,14464,14856,9567687680,21.2634983062744,101.681137084961,249025000,10.5500001907349,195.543062077012
H US Equity,HYATT HOTELS CORP - CL A,,,9173613568,15.5405406951904,3.30116009712219,322000000,0.5099999904632571,70.3032556873883
SNA US Equity,SNAP-ON INC,,,9031124992,22.370792388916,15.7576951980591,526400000,1.42499995231628,162.732790451641
SERV US Equity,SERVICEMASTER GLOBAL HOLDING,,,6940844032,18.1681671142578,16.1391658782959,338000000,2.07699990272522,49.5359612102656
HRB US Equity,H&R BLOCK INC,,,5295715840,-121.55778503418,32.3029136657715,526346016,4.56599998474121,26.1473643428596
DNKN US Equity,DUNKIN' BRANDS GROUP INC,20520,20520,4926428672,57.4309120178223,14.3819103240967,262302008,-0.0120000001043081,59.1080620935721
VVV US Equity,VALVOLINE INC,697,1139,4583506432,18.1651382446289,24.5676307678223,-271000000,2.04299998283386,23.9541473832241
CHH US Equity,CHOICE HOTELS INTL INC,,,4479400960,25.1722640991211,26.8852424621582,233937000,3.29200005531311,73.7198448181152
WTW US Equity,WEIGHT WATCHERS INTL INC,,,4375150080,19.8556804656982,26.0305614471436,208542000,1.87600004673004,51.4102326326592
CHE US Equity,CHEMED CORP,,,4195945216,15.2912168502808,14.5898866653442,98195000,1.37699997425079,233.093953568806
TXRH US Equity,TEXAS ROADHOUSE INC,87,549,3943128576,11.323558807373,15.5130290985107,124745000,1.20700001716614,52.4022479685702
WEN US Equity,WENDY'S CO/THE,6297,6634,3818658304,32.5254554748535,8.23937702178955,169930000,1.11899995803833,15.5919379818347
CAR US Equity,AVIS BUDGET GROUP INC,,,3657422336,31.2035655975342,4.4416241645813,-9087000064,0.680000007152557,40.7537597537965
PLNT US Equity,PLANET FITNESS INC - CL A,,,3638129408,37.3474197387695,59.4488258361816,93299000,-3.16799998283386,30.3672093827595
AAN US Equity,AARON'S INC,551,1726,3269941504,9.70047283172607,14.7027587890625,131529000,1.09099996089935,40.2328681650088
