year,start_date,end_date,franchise_start_level,franchise_end_level,franchise_return,benchmark_start_level,benchmark_end_level,benchmark_return,excess_return
2008,2008-01-02,2008-12-31,98.0702708161021,56.45624422044095,-0.4243286599431778,99.12456467685519,63.20528096301716,-0.3623651093039796,-0.06196355063919823
2009,2009-01-02,2009-12-31,58.840642825610416,106.25179150926957,0.8057551108708048,65.11045426856134,79.86201836690127,0.22656214373031536,0.5791929671404894
2010,2010-01-04,2010-12-31,105.53354129138208,145.56738332242193,0.37934709231925523,81.2164528203576,91.88661101171206,0.13137926886508766,0.24796782345416757
2011,2011-01-03,2011-12-30,147.61160607475585,174.84611303198648,0.18450112210985692,92.8364679153912,93.62780781033896,0.00852401984604767,0.17597710226380925
2012,2012-01-03,2012-12-31,172.75748494383734,204.97631498101674,0.18649744783940103,95.1198790864823,108.59957166884409,0.14171267574999913,0.0447847720894019
2013,2013-01-02,2013-12-31,210.74724153174373,306.1490581620439,0.4526835840740071,111.38305371763093,143.68565933497567,0.29001364695239573,0.16266993712161137
2014,2014-01-02,2014-12-31,303.8367024513113,349.07163477456794,0.1488790918223759,142.30862064341622,163.0307685824078,0.1456141437201841,0.0032649481021918003
2015,2015-01-02,2015-12-31,346.96390378908353,312.9524633790822,-0.09802587542557917,162.94351239210306,165.04292889626188,0.012884320911819014,-0.11091019633739818
2016,2016-01-04,2016-12-30,307.87796685246053,338.43421933083806,0.09924793511781416,162.73566833835864,184.8446245972423,0.13585808498303464,-0.03661014986522049
2017,2017-01-03,2017-12-29,338.4372079124574,386.50293913260083,0.14202259709156007,186.25863462739406,224.96599786217547,0.20781513464980872,-0.06579253755824865
2018,2018-01-02,2018-12-31,389.4796420387398,385.62205152935013,-0.00990447277089257,226.57607092367047,214.68681636546842,-0.05247356664688274,0.04256909387599017
2019,2019-01-02,2019-12-31,386.40808623453063,449.8903002464453,0.16428800605736837,214.91017688774124,281.71978024083097,0.3108722179684764,-0.14658421191110804
2020,2020-01-02,2020-12-31,450.024485793583,483.4540957088493,0.07428398002903291,284.3544191285492,333.36347231747084,0.1723520012072186,-0.0980680211781857
2021,2021-01-04,2021-12-31,474.8345418866457,581.446078352572,0.22452354886047243,328.8250968342573,429.1376291602334,0.30506349208660977,-0.08053994322613733
2022,2022-01-03,2022-12-30,582.5517391118813,499.3753234933993,-0.1427794477882549,431.62227551884394,351.14084355951627,-0.1864626469117764,0.04368319912352148
2023,2023-01-03,2023-12-29,497.5598952951332,601.6746015828782,0.20925059931928036,349.66256469984256,443.05561408818727,0.2670947902830696,-0.05784419096378923
2024,2024-01-02,2024-12-31,597.4812752466431,640.3979492481113,0.07182932048163693,440.5761398857528,553.3159267929184,0.25589172154533935,-0.18406240106370242
2025,2025-01-02,2025-12-31,642.60251741027,647.1858106888715,0.0071323923489630126,551.9564159639558,651.3687057732757,0.18010894870331895,-0.17297655635435594
2026,2026-01-02,2026-05-15,655.4269408657993,628.0616514860061,-0.04175185314116703,652.5627076046021,707.9819779091463,0.08492558593790123,-0.12667743907906825
