snapshot_file,snapshot_label,as_of_date,identifier_raw,ticker,security_name,reason,source
Holdings 06-30-08.xls,2008-06-30,,QSR US Equity,QSR,RESTAURANT BRANDS INTERN,Price not available or security matured/called,Portfolio
Holdings 06-30-08.xls,2008-06-30,,PBPB US Equity,PBPB,POTBELLY CORP,Price not available or security matured/called,Portfolio
Holdings 06-30-08.xls,2008-06-30,,TACO US Equity,TACO,DEL TACO RESTAURANTS INC,Price not available or security matured/called,Portfolio
Holdings 06-30-08.xls,2008-06-30,,TAX US Equity,TAX,LIBERTY TAX INC,Price not available or security matured/called,Portfolio
Holdings 06-30-08.xls,2008-06-30,,SHAK US Equity,SHAK,SHAKE SHACK INC - CLASS A,Price not available or security matured/called,Portfolio
Holdings 06-30-08.xls,2008-06-30,,RMAX US Equity,RMAX,RE/MAX HOLDINGS INC-CL A,Price not available or security matured/called,Portfolio
Holdings 06-30-08.xls,2008-06-30,,DNKN US Equity,DNKN,DUNKIN' BRANDS GROUP INC,Price not available or security matured/called,Portfolio
Holdings 06-30-08.xls,2008-06-30,,BOJA US Equity,BOJA,BOJANGLES' INC,Price not available or security matured/called,Portfolio
Holdings 06-30-08.xls,2008-06-30,,FRGI US Equity,FRGI,FIESTA RESTAURANT GROUP,Price not available or security matured/called,Portfolio
Holdings 06-30-08.xls,2008-06-30,,WING US Equity,WING,WINGSTOP INC,Price not available or security matured/called,Portfolio
Holdings 06-30-08.xls,2008-06-30,,LQ US Equity,LQ,LA QUINTA HOLDINGS INC,Price not available or security matured/called,Portfolio
Holdings 06-30-08.xls,2008-06-30,,BLMN US Equity,BLMN,BLOOMIN' BRANDS INC,Price not available or security matured/called,Portfolio
Holdings 06-30-08.xls,2008-06-30,,GNC US Equity,GNC,GNC HOLDINGS INC-CL A,Price not available or security matured/called,Portfolio
Holdings 06-30-08.xls,2008-06-30,,LOCO US Equity,LOCO,EL POLLO LOCO HOLDINGS INC,Price not available or security matured/called,Portfolio
Holdings 06-30-08.xls,2008-06-30,,H US Equity,H,HYATT HOTELS CORP - CL A,Price not available or security matured/called,Portfolio
Holdings 06-30-08.xls,2008-06-30,,HLT US Equity,HLT,HILTON WORLDWIDE HOLDINGS IN,Price not available or security matured/called,Portfolio
Holdings 06-30-08.xls,2008-06-30,,VVV US Equity,VVV,VALVOLINE INC,Price not available or security matured/called,Portfolio
