snapshot_file,snapshot_label,as_of_date,index_name,reported_instruments,reported_weight_pct,reported_market_value,security_name,ticker_raw,ticker,weight_pct,market_value,position,closing_price,currency
Holdings 06-30-08.xls,2008-06-30,6/30/2008,US FRANCHISE INDEX,60,100,83331195,1-800-FLOWERS.COM INC-CL A,FLWS US,FLWS,1.67,1388853,215326.09,6.45,USD
Holdings 06-30-08.xls,2008-06-30,6/30/2008,US FRANCHISE INDEX,60,100,83331195,AARON'S INC,AAN US,AAN,1.67,1388853,62196.74,22.33,USD
Holdings 06-30-08.xls,2008-06-30,6/30/2008,US FRANCHISE INDEX,60,100,83331195,AMERIPRISE FINANCIAL INC,AMP US,AMP,1.67,1388853,34149.33,40.67,USD
Holdings 06-30-08.xls,2008-06-30,6/30/2008,US FRANCHISE INDEX,60,100,83331195,AVIS BUDGET GROUP INC,CAR US,CAR,1.67,1388853,165932.29,8.37,USD
Holdings 06-30-08.xls,2008-06-30,6/30/2008,US FRANCHISE INDEX,60,100,83331195,BB LIQUIDATING INC,BLIAQ US,BLIAQ,1.67,1388853,555541.3,2.5,USD
Holdings 06-30-08.xls,2008-06-30,6/30/2008,US FRANCHISE INDEX,60,100,83331195,BENIHANA INC,BNHN US,BNHN,1.67,1388853,221861.54,6.26,USD
Holdings 06-30-08.xls,2008-06-30,6/30/2008,US FRANCHISE INDEX,60,100,83331195,BIGLARI HOLDINGS INC,BH US,BH,1.67,1388853,219408.1,6.33,USD
Holdings 06-30-08.xls,2008-06-30,6/30/2008,US FRANCHISE INDEX,60,100,83331195,BRINKER INTERNATIONAL INC,EAT US,EAT,1.67,1388853,73484.3,18.9,USD
Holdings 06-30-08.xls,2008-06-30,6/30/2008,US FRANCHISE INDEX,60,100,83331195,BUFFALO WILD WINGS INC,BWLD US,BWLD,1.67,1388853,55934.48,24.83,USD
Holdings 06-30-08.xls,2008-06-30,6/30/2008,US FRANCHISE INDEX,60,100,83331195,BURGER KING HOLDINGS INC,BKC US,BKC,1.67,1388853,51842.23,26.79,USD
Holdings 06-30-08.xls,2008-06-30,6/30/2008,US FRANCHISE INDEX,60,100,83331195,CASEY'S GENERAL STORES INC,CASY US,CASY,1.67,1388853,59941.88,23.17,USD
Holdings 06-30-08.xls,2008-06-30,6/30/2008,US FRANCHISE INDEX,60,100,83331195,CASH AMERICA INTL INC,CSH US,CSH,1.67,1388853,44801.72,31,USD
Holdings 06-30-08.xls,2008-06-30,6/30/2008,US FRANCHISE INDEX,60,100,83331195,CEC ENTERTAINMENT INC,CEC US,CEC,1.67,1388853,49584.19,28.01,USD
Holdings 06-30-08.xls,2008-06-30,6/30/2008,US FRANCHISE INDEX,60,100,83331195,CHEMED CORP,CHE US,CHE,1.67,1388853,37936.44,36.61,USD
Holdings 06-30-08.xls,2008-06-30,6/30/2008,US FRANCHISE INDEX,60,100,83331195,CHOICE HOTELS INTL INC,CHH US,CHH,1.67,1388853,52409.56,26.5,USD
Holdings 06-30-08.xls,2008-06-30,6/30/2008,US FRANCHISE INDEX,60,100,83331195,CKE RESTAURANTS INC,CKR US,CKR,1.67,1388853,111375.56,12.47,USD
Holdings 06-30-08.xls,2008-06-30,6/30/2008,US FRANCHISE INDEX,60,100,83331195,DENNY'S CORP,DENN US,DENN,1.67,1388853,489032.83,2.84,USD
Holdings 06-30-08.xls,2008-06-30,6/30/2008,US FRANCHISE INDEX,60,100,83331195,DINEEQUITY INC,DIN US,DIN,1.67,1388853,37174.87,37.36,USD
Holdings 06-30-08.xls,2008-06-30,6/30/2008,US FRANCHISE INDEX,60,100,83331195,DOLLAR THRIFTY AUTOMOTIVE GP,DTGF US,DTGF,1.67,1388853,146968.6,9.45,USD
Holdings 06-30-08.xls,2008-06-30,6/30/2008,US FRANCHISE INDEX,60,100,83331195,DOMINO'S PIZZA INC,DPZ US,DPZ,1.67,1388853,120769.85,11.5,USD
Holdings 06-30-08.xls,2008-06-30,6/30/2008,US FRANCHISE INDEX,60,100,83331195,EINSTEIN NOAH RESTAURANT GRO,BAGL US,BAGL,1.67,1388853,125461,11.07,USD
