seed_ticker,seed_name,eodhd_symbol,eodhd_match_name,eodhd_match_list,eodhd_match_type,eodhd_match_count,mapping_status,needs_manual_review,review_reason,holdings_snapshot_count,first_snapshot,last_snapshot,min_weight_pct,max_weight_pct,bloomberg_exception_count,provider,provider_price_file,provider_row_count,provider_first_date,provider_last_date,validation_status,validation_grade,validation_comparable_snapshots,validation_missing_snapshots,validation_max_abs_pct_difference,validation_avg_abs_pct_difference,corporate_action_status,corporate_action_treatment,corporate_action_notes
AAN,AARON'S INC,AAN_old.US,The Aaron's Company Inc.,delisted,Common Stock,2,manual_review_required,yes,"EODHD old-symbol mapping found for Aaron's Inc, but price history starts in 2009 and misses early 2007-2008 holdings snapshots.",21,2007-12-31,2017-12-31,1.31,2.04,0,eodhd,data-sources\franchise-index\market-data\eodhd\prices\AAN_OLD.US.json,2926,2009-04-20,2020-11-30,validated_against_holdings,pass_exact,18,3,0,0,acquired_private,partial_price_history_external_data_needed,Aaron's was acquired by IQVentures in 2024; do not treat old AAN as a current live ticker.
AMP,AMERIPRISE FINANCIAL INC,AMP.US,Ameriprise Financial Inc,active,Common Stock,2,approved_for_reconstruction,no,,21,2007-12-31,2017-12-31,1.43,1.99,0,eodhd,data-sources\franchise-index\market-data\eodhd\prices\AMP.US.json,4623,2007-12-31,2026-05-15,validated_against_holdings,pass_exact,21,0,0,0,pending_provider_check,use_adjusted_price_series_pending_provider_check,"Needs provider lookup for current listing, corporate actions, and adjusted price continuity."
BAGL,EINSTEIN NOAH RESTAURANT GRO,BAGL.US,Einstein Noah Restaurant Group Inc,delisted,Common Stock,1,manual_review_required,yes,EODHD identifies Einstein Noah Restaurant Group as BAGL.US but returns zero rows; external data or provider support needed. | EODHD price file exists but has zero rows. | No comparable holdings snapshots validated against provider prices.,14,2007-12-31,2014-06-30,1.49,1.89,7,eodhd,data-sources\franchise-index\market-data\eodhd\prices\BAGL.US.json,0,,,no_comparable_snapshots,review,0,14,,,,external_price_history_needed,
BH,BIGLARI HOLDINGS INC,BH.US,Biglari Holdings Inc,active,Common Stock,2,approved_for_reconstruction,no,"Bloomberg holdings prices are consistently 1.5x EODHD closes, likely due share-class or historical price scale convention. Daily returns remain usable; do not use provider close to recompute historical share counts.",21,2007-12-31,2017-12-31,1.39,1.69,0,eodhd,data-sources\franchise-index\market-data\eodhd\prices\BH.US.json,4623,2007-12-31,2026-05-15,validated_against_holdings,manual_override_accepted,21,0,0.33333343563931,0.33213206154798425,,provider_adjusted_return_series_price_scale_mismatch_accepted,
BKC,BURGER KING HOLDINGS INC,BKC_old.US,Burger King Holdings Inc,delisted,Common Stock,2,approved_for_reconstruction,no,,6,2007-12-31,2010-06-30,1.64,1.67,15,eodhd,data-sources\franchise-index\market-data\eodhd\prices\BKC_OLD.US.json,707,2007-12-31,2010-10-19,validated_against_holdings,pass_exact,6,0,0,0,,price_series_stops_at_delisting_or_acquisition,
BLIAQ,BB LIQUIDATING INC,BLIAQ.US,BB Liquidating Inc.,active,Common Stock,1,manual_review_required,yes,"EODHD BLIAQ history begins after the 2007-2017 holdings snapshots. Bloomberg holdings prices show the security collapsing toward zero, but daily reconstruction needs external data or explicit zero-price treatment. | No comparable holdings snapshots validated against provider prices.",21,2007-12-31,2017-12-31,0.36,2.42,0,eodhd,data-sources\franchise-index\market-data\eodhd\prices\BLIAQ.US.json,1640,2019-11-11,2026-05-15,no_comparable_snapshots,review,0,21,,,,bankruptcy_or_liquidation_external_data_needed,
BLMN,BLOOMIN' BRANDS INC,BLMN.US,Bloomin Brands Inc,active,Common Stock,1,approved_for_reconstruction,no,,10,2013-06-30,2017-12-31,1.42,2.1,21,eodhd,data-sources\franchise-index\market-data\eodhd\prices\BLMN.US.json,3462,2012-08-08,2026-05-15,validated_against_holdings,pass_exact,10,0,0,0,pending_provider_check,use_adjusted_price_series_pending_provider_check,"Needs provider lookup for current listing, corporate actions, and adjusted price continuity."
BNHN,BENIHANA INC,BNHN.US,Benihana Inc,delisted,Common Stock,1,approved_for_reconstruction,no,,10,2007-12-31,2012-06-30,1.64,2.28,10,eodhd,data-sources\franchise-index\market-data\eodhd\prices\BNHN.US.json,1171,2007-12-31,2012-08-21,validated_against_holdings,pass_minor_difference,10,0,0.03524229074889871,0.006254450920793783,,price_series_stops_at_delisting_or_acquisition,
BOJA,BOJANGLES' INC,BOJA.US,Bojangles' Inc,delisted,Common Stock,1,approved_for_reconstruction,no,,6,2015-06-30,2017-12-31,1.02,1.53,21,eodhd,data-sources\franchise-index\market-data\eodhd\prices\BOJA.US.json,936,2015-05-08,2019-01-25,validated_against_holdings,pass_exact,6,0,0,0,acquired_private,cash_acquisition_stop_series,Bojangles was taken private in 2019.
BWLD,BUFFALO WILD WINGS INC,BWLD.US,Buffalo Wild Wings,delisted,Common Stock,1,approved_for_reconstruction,no,,21,2007-12-31,2017-12-31,1.36,1.84,0,eodhd,data-sources\franchise-index\market-data\eodhd\prices\BWLD.US.json,2543,2007-12-31,2018-02-05,validated_against_holdings,pass_exact,21,0,0.0008149959250203575,0.000041007808415649136,,price_series_stops_at_delisting_or_acquisition,
